feature,correlation,p_value
home_win_perc,0.4404302889932579,1.1551365026788687e-16
hpoints,0.4154243465372403,7.988555607858328e-15
home_eff,0.24169244532726072,1.1951672135421443e-05
home_per,0.23368321710185339,2.3458113244089814e-05
home_elo,0.20989779701629016,0.00015171663978526183
home_ppg,0.1624886712862745,0.0035082770751250344
visitor_pag,-0.030323280790419852,0.5883067950794099
visitor_ppg,-0.07536874884424735,0.17798316007699413
visitor_eff,-0.19627543613190035,0.00040422041483332356
visitor_per,-0.2114746105516676,0.00013488746391917707
visitor_elo,-0.21798719870211195,8.223794929849605e-05
visitor_win_perc,-0.27756873719118436,4.3425757314921963e-07
home_pag,-0.2783657883729497,4.0116539084181103e-07
vpoints,-0.5020629014948838,6.700471218400795e-22
